Year,Location,Average_Daily_Average_Temp,Average_Daily_Max_Temp,Average_Daily_Min_Temp
2013,"Honolulu, Hawaii",77.98692810457516,84.2843137254902,71.22222222222223
2014,"Honolulu, Hawaii",78.44931506849315,84.45753424657535,71.98904109589041
2015,"Honolulu, Hawaii",78.72054794520548,85.02739726027397,72.15890410958905
2016,"Honolulu, Hawaii",78.08196721311475,84.09016393442623,71.61475409836065
2017,"Honolulu, Hawaii",78.25479452054795,84.68493150684931,71.5013698630137
2018,"Honolulu, Hawaii",79.06027397260274,84.75068493150685,72.9041095890411
2019,"Honolulu, Hawaii",79.58630136986301,86.15616438356165,72.4958904109589
2020,"Honolulu, Hawaii",79.17213114754098,85.4672131147541,72.39344262295081
2021,"Honolulu, Hawaii",78.33972602739726,84.81095890410958,71.59726027397261
2022,"Honolulu, Hawaii",78.37569060773481,84.73480662983425,71.51104972375691
